Customer Name,State,Product,Units Sold,Unit Price,Total Sale,Sale Date,Sales Channel
William Herrera,anambra,Headphones,47.0,195336.34,9180807.98,2025-05-11,Direct
Ashley Waller,Imo,Tablet,47.0,226895.36,10664081.92,2023-08-02,Retail
Victor Baker,Lagos,KEYBOARD,56.0,86529.89,4845673.84,2023-09-12,Direct
Jeffrey Chandler,Rivers,Keyboard,47.0,85981.89,4041148.83,2023-08-15,Direct
Matthew Moore,Imo,Monitor,47.0,157889.24,7420794.279999999,2024-11-20,Retail
Larry Dixon,Anambra,Tablet,47.0,18219.19,856301.9299999999,2025-02-28,Direct
Kenneth Scott,Sokoto,Charger,47.0,230733.14,10844457.58,2024-09-30,Online
April Frost,Rivers,Camera,6.0,195863.47,1175180.82,2024-02-01,Direct
Michelle Harmon,Borno,Laptop,47.0,70049.95,3292347.65,2024-11-27,Retail
Helen Jones,niger,Tablet,8.0,221736.61,1773892.88,2023-12-21,Direct
Erin Edwards,Kaduna,KEYBOARD,47.0,255174.76,11993213.72,2025-02-25,Wholesale
Michelle Evans,Ekiti,Camera,28.0,11670.82,326782.95999999996,2024-09-27,Online
Jason Powell,Lagos,Keyboard,47.0,276480.53,12994584.910000002,2024-05-29,Direct
Cameron Fisher,Anambra,Monitor,47.0,125656.55,5905857.850000001,2024-11-02,Direct
Megan Orr,Bauchi,Charger,16.0,157889.24,2526227.84,2024-11-18,Retail
Elizabeth Kelley,Kaduna,Phone,47.0,251362.66,11814045.02,2023-08-03,Wholesale
Dustin Jordan,Bauchi,Keyboard,56.0,280209.82,15691749.92,2024-07-31,Retail
Matthew Moore,Rivers,Charger,47.0,11383.78,535037.66,2025-05-31,Wholesale
Mary Marshall,borno,HEADPHONES,47.0,250942.86,11794314.42,2024-11-09,Retail
Daniel Kennedy,Bauchi,Keyboard,47.0,236494.21,11115227.87,2024-09-06,Direct
Rebecca Jackson,Katsina,Camera,47.0,56300.33,2646115.5100000002,2024-02-20,Direct
Jose Schultz,Enugu,Charger,46.0,224826.46,10342017.16,2024-11-20,Online
Robert Potter,Oyo,Tablet,47.0,261751.06,12302299.82,2024-03-01,Direct
Courtney Gonzalez,Osun,Charger,47.0,87195.36,4098181.92,2024-07-20,Direct
David Alvarez,Kaduna,Tablet,47.0,157889.24,7420794.279999999,2024-01-17,Direct
Angel Perry,Imo,Tablet,47.0,11721.12,550892.64,2025-03-27,Direct
Cheyenne Horton,Bauchi,PHONE,47.0,89868.47,4223818.09,2025-03-29,Direct
David Douglas Jr.,lagos,Camera,47.0,181033.5,8508574.5,2024-12-24,Direct
Patricia Rodriguez,Katsina,Laptop,47.0,278572.23,13092894.809999999,2024-05-21,Direct
Christopher Rubio,Sokoto,Camera,47.0,100845.11,4739720.17,2024-02-27,Direct
Matthew Moore,Cross River,Monitor,47.0,136577.55,6419144.85,2024-06-27,Direct
Amber Wright,Lagos,Keyboard,47.0,192573.07,9050934.290000001,2023-09-05,Online
Joyce Solis,Rivers,Camera,47.0,157533.4,7404069.8,2024-12-26,Wholesale
Victoria Larson,Osun,Keyboard,47.0,266833.36,12541167.92,2023-08-26,Direct
Stephanie Salazar,Borno,KEYBOARD,47.0,157889.24,7420794.279999999,2023-11-10,Direct
Kathy Rivas,Delta,Keyboard,56.0,40692.88,2278801.28,2024-06-16,Online
Stephanie Manning,abuja,Phone,47.0,151511.7,7121049.9,2024-05-28,Online
David Wright,Delta,Laptop,47.0,82214.71,3864091.37,2024-07-21,Retail
Pamela Boyd,Plateau,Tablet,68.0,242739.76,16506303.68,2024-07-05,Wholesale
Denise Jones,Kano,Camera,47.0,99539.89,4678374.83,2023-12-16,Retail
Devon Flores,Kano,Monitor,47.0,219470.21,10315099.87,2024-03-31,Direct
Brenda Hall,Cross River,Camera,47.0,194661.46,9149088.62,2024-10-24,Online
Michelle Brown,Kano,TABLET,100.0,215720.15,21572015.0,2023-10-30,Direct
Matthew Moore,Imo,Charger,47.0,4718.22,221756.34000000003,2024-03-09,Direct
Joshua Perry,Oyo,Keyboard,82.0,157889.24,12946917.68,2025-05-10,Wholesale
Jason Stein,oyo,Charger,47.0,101465.1,4768859.7,2025-01-18,Direct
Melissa Gates,Cross River,Monitor,47.0,88859.77,4176409.1900000004,2024-03-15,Online
Jamie Smith,Imo,Charger,47.0,202483.14,9516707.58,2025-01-31,Online
Paul Castaneda,Kaduna,Charger,83.0,58351.81,4843200.2299999995,2025-05-09,Online
Jennifer Adkins,Anambra,Keyboard,31.0,183480.87,5687906.97,2024-04-04,Wholesale
Lindsey Walker,Bauchi,TABLET,47.0,191798.38,9014523.86,2024-05-15,Retail
Jeffrey Johnson,Katsina,Tablet,26.0,121944.37,3170553.62,2023-10-20,Direct
Michael Powell,Niger,Tablet,78.0,128597.12,10030575.36,2025-02-20,Direct
John Anderson,Enugu,Camera,47.0,98714.03,4639559.41,2024-04-23,Direct
Alyssa Long,imo,Laptop,10.0,157889.24,1578892.4,2024-08-13,Direct
Alyssa Day,Enugu,Camera,47.0,120549.56,5665829.32,2024-09-19,Direct
Matthew Moore,Borno,Charger,47.0,29067.84,1366188.48,2023-10-01,Retail
Joel Williams,Benue,Laptop,47.0,294514.72,13842191.839999998,2024-03-14,Direct
Daniel Murphy,Osun,HEADPHONES,47.0,143497.5,6744382.5,2024-01-14,Wholesale
Jamie Walton,Ekiti,Camera,47.0,280779.7,13196645.9,2024-07-07,Direct
Darlene Miller,Bauchi,Camera,47.0,2545.62,119644.14,2023-10-14,Direct
Joshua Cooke,Ekiti,Keyboard,47.0,115380.53,5422884.91,2024-02-03,Direct
Matthew Harrington,Rivers,Tablet,47.0,134297.29,6311972.630000001,2024-06-24,Direct
Nicole Herring,delta,Tablet,41.0,80464.8,3299056.8000000003,2024-01-19,Retail
Alex Hernandez,Delta,Laptop,57.0,157889.24,8999686.68,2023-10-28,Wholesale
Michael Elliott,Kano,Camera,47.0,99222.78,4663470.66,2023-09-24,Online
Michael Wang,Sokoto,TABLET,47.0,174947.0,8222509.0,2023-08-19,Direct
Lawrence Adkins,Lagos,Camera,47.0,172076.77,8087608.1899999995,2024-02-21,Online
Robert Oconnell,Plateau,Charger,47.0,78835.17,3705252.9899999998,2024-05-04,Wholesale
Matthew Moore,Imo,Headphones,65.0,108185.85,7032080.25,2025-05-12,Direct
Alexander Collins,Delta,Tablet,47.0,71272.62,3349813.1399999997,2024-10-30,Online
Tina Sanders,Plateau,Phone,58.0,200501.94,11629112.52,2024-05-30,Online
Angela Vaughn,delta,Headphones,47.0,139885.8,6574632.6,2024-01-19,Retail
Ashley Barton,Lagos,Tablet,37.0,48335.19,1788402.03,2025-05-13,Wholesale
Lindsay Martinez,Kano,PHONE,83.0,157889.24,13104806.92,2025-06-10,Wholesale
Dr. Hannah Patterson,Abuja,Phone,47.0,205979.05,9681015.35,2023-11-12,Wholesale
Jonathan Peterson,Delta,Tablet,47.0,276970.25,13017601.75,2025-04-02,Direct
Samantha Garcia,Kano,Headphones,47.0,266396.52,12520636.440000001,2024-03-21,Retail
Madison Poole,Abuja,Keyboard,47.0,231067.39,10860167.33,2025-07-05,Direct
Jessica Gross,Sokoto,Laptop,47.0,207241.97,9740372.59,2024-10-01,Direct
Debra Morton,Kano,Phone,47.0,191794.04,9014319.88,2025-01-21,Wholesale
Karen Graham,bauchi,Tablet,47.0,282220.37,13264357.39,2024-03-09,Direct
Matthew Moore,Delta,KEYBOARD,47.0,110579.4,5197231.8,2023-12-05,Online
Debra Christian,Anambra,Keyboard,65.0,66644.35,4331882.75,2025-02-22,Direct
Angelica Keith,Cross River,Keyboard,47.0,157889.24,7420794.279999999,2023-11-11,Direct
John Bishop,Enugu,Charger,47.0,287229.48,13499785.559999999,2024-08-01,Wholesale
Allen Rosales,Imo,Headphones,92.0,143715.48,13221824.16,2024-08-13,Online
Daniel Salinas,Oyo,Phone,47.0,136766.11,6428007.169999999,2024-07-07,Wholesale
Spencer Haynes,Plateau,Tablet,23.0,296656.97,6823110.31,2024-08-01,Online
Adam Vaughan,Plateau,Keyboard,47.0,112400.64,5282830.08,2025-05-23,Online
Nathan Freeman,cross river,LAPTOP,47.0,210731.25,9904368.75,2024-03-06,Online
Melissa Brewer,Delta,Laptop,47.0,273882.67,12872485.489999998,2024-07-31,Wholesale
Ricky Davis II,Cross River,Monitor,79.0,227326.48,17958791.92,2023-07-29,Online
Elizabeth Perkins,Niger,Keyboard,47.0,240697.5,11312782.5,2023-09-18,Retail
Joseph Coleman,Enugu,Laptop,47.0,157889.24,7420794.279999999,2024-05-11,Retail
Matthew Moore,Rivers,Phone,47.0,247768.25,11645107.75,2024-08-06,Direct
Erin Warner,Rivers,Headphones,47.0,228676.96,10747817.12,2024-06-30,Retail
David Martinez,Niger,Headphones,47.0,204262.41,9600333.27,2024-01-13,Direct
Bryan Herrera,Osun,TABLET,47.0,178946.43,8410482.209999999,2023-12-25,Retail
Cathy Robinson,niger,Laptop,47.0,236317.52,11106923.44,2024-10-06,Wholesale
Dr. William Warren,Niger,Camera,47.0,157889.24,7420794.279999999,2024-04-10,Direct
Brian Lee,Ekiti,Laptop,47.0,158687.85,7458328.95,2023-08-17,Direct
Christopher Smith,Abuja,Monitor,47.0,108854.57,5116164.79,2023-08-19,Direct
Denise Mccann,Rivers,Camera,47.0,275214.79,12935095.129999999,2024-02-14,Retail
Melissa Martinez,Abuja,Monitor,78.0,157889.24,12315360.719999999,2024-07-29,Direct
Katherine Salas,Benue,Keyboard,43.0,34106.53,1466580.79,2024-10-17,Retail
Julie Alexander,Sokoto,KEYBOARD,47.0,248717.83,11689738.01,2025-05-26,Retail
Anthony Everett,Rivers,Tablet,47.0,270915.0,12733005.0,2025-04-25,Direct
Matthew Moore,delta,Monitor,47.0,61045.96,2869160.12,2024-11-30,Direct
Rodney Morales,Enugu,Tablet,47.0,161229.72,7577796.84,2024-12-14,Online
Mark Brown,Enugu,Phone,51.0,49778.88,2538722.88,2024-07-10,Direct
Justin Torres,Imo,Laptop,47.0,256418.56,12051672.32,2024-02-17,Retail
Bailey Duran DDS,Ekiti,Camera,47.0,132831.25,6243068.75,2024-08-30,Direct
Courtney Mills,Oyo,Camera,47.0,204248.42,9599675.74,2023-07-17,Direct
Jeremy Dalton,Niger,TABLET,47.0,157889.24,7420794.279999999,2025-04-29,Direct
Elizabeth Oliver DDS,Kaduna,Laptop,47.0,215216.93,10115195.709999999,2023-10-02,Direct
Theresa Clark,Anambra,Headphones,47.0,146903.98,6904487.0600000005,2024-06-09,Online
Matthew Moore,ekiti,Camera,47.0,269717.36,12676715.92,2023-10-23,Retail
Benjamin Smith,Delta,Headphones,47.0,133922.07,6294337.29,2025-05-26,Retail
Kirk Carter,Kano,Laptop,47.0,17162.92,806657.2399999999,2024-02-01,Wholesale
Michael Warner,Ekiti,Headphones,47.0,40017.33,1880814.51,2025-01-26,Online
Matthew Moore,Imo,Phone,47.0,124919.66,5871224.0200000005,2024-04-20,Direct
Michael Bradshaw,Rivers,MONITOR,40.0,169391.4,6775656.0,2025-02-23,Online
Lori Guerrero,Abuja,Keyboard,47.0,167859.76,7889408.720000001,2024-05-19,Direct
Jessica Stephens,Imo,Keyboard,47.0,157889.24,7420794.279999999,2024-04-20,Retail
Susan Serrano,Lagos,Tablet,25.0,201993.93,5049848.25,2023-08-15,Wholesale
Christopher Parker,kano,Phone,18.0,92796.78,1670342.04,2024-05-17,Wholesale
Laura Roberts,Delta,Camera,47.0,7020.25,329951.75,2023-08-19,Retail
Michael Lyons,Kaduna,Tablet,47.0,76709.94,3605367.18,2024-09-25,Direct
Kathryn Snyder,Niger,Tablet,47.0,1403.13,65947.11,2024-09-19,Online
Andrew Reynolds,Cross River,KEYBOARD,47.0,65761.44,3090787.68,2023-12-09,Wholesale
David Davis,Cross River,Laptop,47.0,22372.34,1051499.98,2024-04-17,Direct
Sara Johnston,Enugu,Camera,47.0,127397.37,5987676.39,2024-09-12,Direct
Yvonne Chambers,Benue,Tablet,47.0,210265.27,9882467.69,2024-02-20,Wholesale
Matthew Moore,Abuja,Camera,49.0,157889.24,7736572.76,2023-09-06,Direct
Andrew Avila,kaduna,Monitor,21.0,162578.47,3414147.87,2024-05-06,Direct
Matthew Moon,Benue,Laptop,47.0,18546.56,871688.3200000001,2024-08-05,Direct
Kevin Walters,Lagos,Camera,47.0,268318.42,12610965.739999998,2024-06-24,Direct
Brandon Bailey MD,Benue,HEADPHONES,57.0,295848.11,16863342.27,2025-02-23,Direct
Shannon Rivera,Anambra,Tablet,47.0,141885.32,6668610.04,2024-09-10,Online
Donna Landry,Ekiti,Headphones,47.0,86483.67,4064732.4899999998,2024-02-13,Wholesale
Krista Gibson,Borno,Laptop,47.0,54404.41,2557007.27,2025-04-12,Wholesale
Frank Cordova,Niger,Phone,47.0,41060.95,1929864.65,2024-11-06,Direct
Jose Travis,Imo,Headphones,47.0,192636.74,9053926.78,2024-12-20,Direct
Kimberly Gutierrez,cross river,Tablet,58.0,157889.24,9157575.92,2024-10-27,Retail
Isaiah Avila,Oyo,Tablet,69.0,218922.21,15105632.49,2023-10-11,Wholesale
Olivia Harris,Enugu,KEYBOARD,47.0,289152.88,13590185.36,2023-10-18,Direct
Matthew Moore,Borno,Laptop,47.0,112651.05,5294599.350000001,2023-09-24,Direct
Tanya Kim,Enugu,Keyboard,47.0,267454.41,12570357.27,2024-05-11,Online
Barbara Dudley,Abuja,Tablet,47.0,134836.87,6337332.89,2024-04-25,Retail
Cynthia Moore,Plateau,Monitor,47.0,275175.97,12933270.589999998,2025-03-19,Wholesale
Kristen Davis,Imo,Tablet,47.0,113560.16,5337327.5200000005,2024-03-30,Online
Susan Murray MD,Abuja,Keyboard,47.0,24534.87,1153138.89,2024-09-16,Retail
Kathleen Moran,sokoto,Keyboard,54.0,289261.24,15620106.959999999,2025-07-09,Wholesale
Denise Davenport,Abuja,LAPTOP,47.0,157889.24,7420794.279999999,2024-04-19,Online
Mrs. Kristen Reyes,Abuja,Phone,47.0,262428.84,12334155.48,2025-02-16,Retail
Katie Suarez,Plateau,Monitor,47.0,40330.45,1895531.15,2023-10-31,Wholesale
Desiree Tyler,Cross River,Charger,47.0,258155.83,12133324.01,2023-12-12,Retail
Timothy Romero,Bauchi,Tablet,71.0,36030.63,2558174.73,2024-10-20,Direct
Diane Evans,Bauchi,Phone,47.0,297857.61,13999307.67,2024-08-09,Direct
Matthew Moore,Kaduna,Laptop,47.0,118221.06,5556389.82,2024-05-17,Direct
Yvonne Burns,Abuja,Camera,11.0,38640.45,425044.94999999995,2024-08-02,Direct
Joshua Reed,bauchi,PHONE,47.0,293627.95,13800513.65,2023-08-11,Retail
Kimberly Gibson,Kano,Tablet,66.0,250529.07,16534918.620000001,2023-08-15,Direct
Colin Terry,Kaduna,Phone,56.0,157889.24,8841797.44,2023-08-10,Direct
Cynthia Rowe,Kano,Headphones,47.0,226975.73,10667859.31,2023-10-25,Direct
Patrick Thornton,Katsina,Keyboard,45.0,293557.96,13210108.200000001,2025-01-15,Retail
Jasmin Alvarado,Kano,Keyboard,54.0,139169.67,7515162.180000001,2024-03-25,Direct
Veronica Simpson,Delta,Tablet,47.0,215868.65,10145826.549999999,2025-03-26,Direct
Jonathan Lawrence,Benue,Headphones,48.0,127526.34,6121264.32,2024-07-12,Retail
Shelly Alexander,Rivers,MONITOR,50.0,114093.3,5704665.0,2024-08-17,Direct
Joyce Bowen,plateau,Keyboard,48.0,69284.39,3325650.7199999997,2024-06-29,Retail
Matthew Moore,Delta,Laptop,47.0,138457.27,6507491.6899999995,2023-11-03,Direct
Matthew Moore,Plateau,Keyboard,47.0,46958.85,2207065.9499999997,2024-10-23,Wholesale
Wayne Morgan,Katsina,Charger,47.0,157889.24,7420794.279999999,2025-06-03,Retail
Marie Christian,Abuja,Monitor,19.0,56949.9,1082048.1,2024-08-14,Retail
Shannon James,Katsina,Charger,47.0,262624.85,12343367.95,2023-10-27,Wholesale
Nathan Malone,Kano,Charger,47.0,229764.23,10798918.81,2024-03-21,Direct
Amanda Jones,Niger,LAPTOP,47.0,10149.09,477007.23,2025-07-03,Direct
Tammie Bright,Plateau,Headphones,47.0,198229.21,9316772.87,2024-10-29,Online
Jessica Garcia,plateau,Charger,79.0,184669.5,14588890.5,2024-03-14,Wholesale
Shelia Wallace,Bauchi,Monitor,11.0,280903.26,3089935.8600000003,2023-11-14,Online
Stephanie Williams,Sokoto,Keyboard,33.0,266767.88,8803340.040000001,2024-05-11,Direct
